2024-07-09 09:47:22.700 [main] INFO  com.course.Application - Starting Application on piercedeMacBook-Pro.local with PID 95420 (/Users/pierce/Downloads/pierceTest/FirstUseGit/Chapter/Chapter13/target/classes started by pierce in /Users/pierce/Downloads/pierceTest/FirstUseGit)
2024-07-09 09:47:22.709 [main] INFO  com.course.Application - No active profile set, falling back to default profiles: default
2024-07-09 09:47:22.759 [main] INFO  o.s.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7d8704ef: startup date [Tue Jul 09 09:47:22 CST 2024]; root of context hierarchy
2024-07-09 09:47:23.406 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.course]' package. Please check your configuration.
2024-07-09 09:47:23.689 [main] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$d14c8915] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-07-09 09:47:23.944 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2024-07-09 09:47:23.967 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-07-09 09:47:23.967 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.28
2024-07-09 09:47:23.973 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/pierce/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2024-07-09 09:47:24.072 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-09 09:47:24.073 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1314 ms
2024-07-09 09:47:24.190 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2024-07-09 09:47:24.194 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
